from_library,to_library,count,daily_average
ARP,SUN,56,0.875
ARP,VER,101,1.578125
ARP,WAU,34,0.53125
ARP,WID,34,0.53125
ARP,WYO,4,0.0625
ARP,ZZZ,0,0
ARP,UNDEF,0,0
BAR,ACL,55,0.859375
BAR,ALM,6,0.09375
BAR,ARP,21,0.328125
BAR,BAR,30082,470.03125
BAR,BER,28,0.4375
BAR,BLV,99,1.546875
BAR,BRD,49,0.765625
BAR,CBR,72,1.125
BAR,CIA,109,1.703125
BAR,COL,318,4.96875
BAR,CSP,83,1.296875
BAR,DCL,100,1.5625
BAR,DEE,62,0.96875
BAR,DFT,222,3.46875
BAR,FCH,416,6.5
BAR,HAW,487,7.609375
BAR,HPB,492,7.6875
BAR,LAK,370,5.78125
BAR,LAV,83,1.296875
BAR,LDI,400,6.25
BAR,MAD,431,6.734375
BAR,MAR,53,0.828125
BAR,MAZ,51,0.796875
BAR,MCF,179,2.796875
BAR,MCM,258,4.03125
BAR,MEA,250,3.90625
BAR,MFD,26,0.40625
BAR,MID,844,13.1875
BAR,MNT,10,0.15625
BAR,MOO,279,4.359375
BAR,MRO,244,3.8125
BAR,MRS,7,0.109375
BAR,MSB,297,4.640625
BAR,MTH,195,3.046875
BAR,NEK,57,0.890625
BAR,NGL,66,1.03125
BAR,NOF,219,3.421875
BAR,ORE,300,4.6875
BAR,PAR,149,2.328125
BAR,PDS,419,6.546875
BAR,PIN,537,8.390625
BAR,PLA,102,1.59375
BAR,PLO,91,1.421875
BAR,POR,446,6.96875
BAR,POY,207,3.234375
BAR,RAN,44,0.6875
BAR,REE,875,13.671875
BAR,RIO,32,0.5
BAR,RKS,39,0.609375
BAR,ROM,14,0.21875
BAR,ROS,46,0.71875
BAR,SCA,0,0
BAR,SCL,0,0
BAR,SEQ,833,13.015625
BAR,SGR,256,4
BAR,SKC,421,6.578125
BAR,SMB,187,2.921875
BAR,STO,248,3.875
BAR,STP,253,3.953125
BAR,SUN,644,10.0625
BAR,VER,614,9.59375
BAR,WAU,362,5.65625
BAR,WID,273,4.265625
BAR,WYO,23,0.359375
BAR,ZZZ,12,0.1875
BAR,UNDEF,0,0
BER,ACL,21,0.328125
BER,ALM,0,0
BER,ARP,7,0.109375
BER,BAR,52,0.8125
BER,BER,3736,58.375
BER,BLV,224,3.5
BER,BRD,10,0.15625
BER,CBR,42,0.65625
BER,CIA,1,0.015625
BER,COL,15,0.234375
BER,CSP,210,3.28125
BER,DCL,100,1.5625
BER,DEE,76,1.1875
BER,DFT,225,3.515625
BER,FCH,215,3.359375
BER,HAW,99,1.546875
BER,HPB,130,2.03125
BER,LAK,69,1.078125
BER,LAV,5,0.078125
BER,LDI,18,0.28125
BER,MAD,103,1.609375
BER,MAR,18,0.28125
BER,MAZ,24,0.375
BER,MCF,79,1.234375
BER,MCM,62,0.96875
BER,MEA,57,0.890625
BER,MFD,0,0
BER,MID,262,4.09375
BER,MNT,4,0.0625
BER,MOO,115,1.796875
BER,MRO,34,0.53125
BER,MRS,0,0
BER,MSB,38,0.59375
BER,MTH,49,0.765625
BER,NEK,10,0.15625
BER,NGL,15,0.234375
BER,NOF,4,0.0625
BER,ORE,91,1.421875
BER,PAR,7,0.109375
BER,PDS,40,0.625
BER,PIN,136,2.125
BER,PLA,8,0.125
BER,PLO,23,0.359375
BER,POR,17,0.265625
BER,POY,27,0.421875
BER,RAN,3,0.046875
BER,REE,31,0.484375
BER,RIO,0,0
BER,RKS,1,0.015625
BER,ROM,5,0.078125
BER,ROS,5,0.078125
BER,SCA,0,0
BER,SCL,0,0
BER,SEQ,227,3.546875
BER,SGR,19,0.296875
BER,SKC,20,0.3125
BER,SMB,26,0.40625
BER,STO,74,1.15625
BER,STP,82,1.28125
BER,SUN,216,3.375
BER,VER,256,4
BER,WAU,172,2.6875
BER,WID,13,0.203125
BER,WYO,3,0.046875
BER,ZZZ,5,0.078125
BER,UNDEF,0,0
BLV,ACL,18,0.28125
BLV,ALM,0,0
BLV,ARP,8,0.125
BLV,BAR,51,0.796875
BLV,BER,11,0.171875
BLV,BLV,11657,182.140625
BLV,BRD,22,0.34375
BLV,CBR,76,1.1875
BLV,CIA,12,0.1875
BLV,COL,18,0.28125
BLV,CSP,331,5.171875
BLV,DCL,121,1.890625
BLV,DEE,86,1.34375
BLV,DFT,305,4.765625
BLV,FCH,293,4.578125
BLV,HAW,105,1.640625
BLV,HPB,157,2.453125
BLV,LAK,133,2.078125
BLV,LAV,1,0.015625
BLV,LDI,19,0.296875
BLV,MAD,103,1.609375
BLV,MAR,19,0.296875
BLV,MAZ,32,0.5
BLV,MCF,114,1.78125
BLV,MCM,89,1.390625
BLV,MEA,99,1.546875
BLV,MFD,5,0.078125
BLV,MID,344,5.375
BLV,MNT,4,0.0625
BLV,MOO,140,2.1875
BLV,MRO,89,1.390625
BLV,MRS,5,0.078125
BLV,MSB,38,0.59375
BLV,MTH,95,1.484375
BLV,NEK,3,0.046875
BLV,NGL,24,0.375
BLV,NOF,8,0.125
BLV,ORE,129,2.015625
BLV,PAR,19,0.296875
BLV,PDS,34,0.53125
BLV,PIN,256,4
BLV,PLA,8,0.125
BLV,PLO,29,0.453125
BLV,POR,40,0.625
BLV,POY,22,0.34375
BLV,RAN,1,0.015625
BLV,REE,48,0.75
BLV,RIO,1,0.015625
BLV,RKS,3,0.046875
BLV,ROM,11,0.171875
BLV,ROS,9,0.140625
BLV,SCA,0,0
BLV,SCL,0,0
BLV,SEQ,296,4.625
BLV,SGR,27,0.421875
